   -.3239999999999272E+01   -.3072628469590988E-05    .8146825365958440E-05
   -.3239999999983592E+01   -.1458283147250437E-04    .8514183526252133E-05
   -.3239999999905439E+01   -.3500728590114549E-04    .9166047789587700E-05
   -.3239999999685215E+01   -.6387192344396528E-04    .1008728785259268E-04
   -.3239999999220648E+01   -.1005007589076232E-03    .1125632905880346E-04
   -.3239999998399214E+01   -.1440353834709511E-03    .1264577454348748E-04
   -.3239999997112268E+01   -.1934554301263374E-03    .1422305840587044E-04
   -.3239999995269520E+01   -.2476025550255855E-03    .1595121109505451E-04
   -.3239999992812371E+01   -.3052076054941142E-03    .1778972650011788E-04
   -.3239999989724778E+01   -.3649203738107769E-03    .1969551156831664E-04
   -.3239999986040496E+01   -.4253412473698303E-03    .2162389644616767E-04
   -.3239999981845880E+01   -.4850540156864931E-03    .2352968154356068E-04
   -.3239999977277866E+01   -.5426590661550217E-03    .2536819700444977E-04
   -.3239999972517158E+01   -.5968061910542699E-03    .2709634977068851E-04
   -.3239999967777134E+01   -.6462262377096561E-03    .2867363372437128E-04
   -.3239999963289348E+01   -.6897608622729840E-03    .3006307930589009E-04
   -.3239999959286883E+01   -.7263896977366418E-03    .3123212060554038E-04
   -.3239999955986951E+01   -.7552543352794617E-03    .3215336074988748E-04
   -.3239999953574261E+01   -.7756787897081028E-03    .3280522507495285E-04
   -.3239999952186226E+01   -.7871889927110162E-03    .3317258327152444E-04
   -.3239999425332402E+01   -.2729046001357592E-02    .9514867995701230E-04
   -.3239990654492209E+01   -.1100535237866100E-01    .3592968326226963E-03
   -.3239948288801326E+01   -.2588777964243827E-01    .8343146478460802E-03
   -.3239826879021817E+01   -.4736716032507842E-01    .1520026694464380E-02
   -.3239561028906195E+01   -.7542589327088256E-01    .2416196022131623E-02
   -.3239065669495537E+01   -.1100405531513026E+00    .3522778337474291E-02
   -.3238236416379838E+01   -.1511821540966427E+00    .4840159224174941E-02
   -.3236950008554965E+01   -.1988162194783294E+00    .6369453586186291E-02
   -.3235064827327789E+01   -.2529028229021137E+00    .8112892461709575E-02
   -.3232421493441279E+01   -.3133966257013968E+00    .1007433076249264E-01
   -.3228843540315144E+01   -.3802469165104965E+00    .1225992477430362E-01
   -.3224138161028493E+01   -.4533976544610008E+00    .1467904586410754E-01
   -.3218097026409982E+01   -.5327875164891176E+00    .1734551391327894E-01
   -.3210497171348786E+01   -.6183499489122082E+00    .2027924616035261E-01
   -.3201101946197497E+01   -.7100132233137888E+00    .2350841741107320E-01
   -.3189662029906346E+01   -.8077004967274428E+00    .2707220527999595E-01
   -.3175916501307938E+01   -.9113298760872101E+00    .3102413378167552E-01
   -.3159593964763569E+01   -.1020814486899627E+01    .3543590922194658E-01
   -.3140413726186989E+01   -.1136062546084778E+01    .4040143822126975E-01
   -.3118087015279775E+01   -.1256977438928049E+01    .4604040210534022E-01
   -.3092318249644961E+01   -.1383457800079679E+01    .5250031624604173E-01
   -.3062806336292742E+01   -.1515397598535140E+01    .5995543401836999E-01
   -.3029246005914522E+01   -.1652686226525712E+01    .6860022222007811E-01
   -.2991329175179738E+01   -.1795208592245091E+01    .7863458619026253E-01
   -.2948746332204169E+01   -.1942845216334532E+01    .9023783322332998E-01
   -.2901187940249265E+01   -.2095472332045816E+01    .1035289563210173E+00
   -.2848345854639619E+01   -.2252961988998159E+01    .1185127495890658E+00
   -.2789914747830397E+01   -.2415182160442159E+01    .1350151130987626E+00
   -.2725593537518457E+01   -.2581996853940918E+01    .1526170695822933E+00
   -.2655086812670225E+01   -.2753266225375578E+01    .1706053993518591E+00
   -.2578106252336197E+01   -.2928846696179724E+01    .1879674419719665E+00
   -.2494372032136214E+01   -.3108591073704400E+01    .2034664262408277E+00
   -.2403614213331412E+01   -.3292348674612836E+01    .2158383553477125E+00
   -.2305574109447857E+01   -.3479965451201460E+01    .2241462370030051E+00
   -.2200005625483123E+01   -.3671284120541303E+01    .2282932364353889E+00
   -.2086676564810431E+01   -.3866144296331530E+01    .2295480621857612E+00
   -.1965369898994848E+01   -.4064382623354594E+01    .2304664588651344E+00
   -.1835884995852533E+01   -.4265832914420251E+01    .2333203165288285E+00
   -.1698038801216259E+01   -.4470326289683705E+01    .2382117623973772E+00
   -.1551666970018504E+01   -.4677691318221009E+01    .2434073907343813E+00
   -.1396624942466270E+01   -.4887754161743116E+01    .2467343446518185E+00
   -.1232788961259450E+01   -.5100338720328045E+01    .2465828224566261E+00
   -.1060057025995927E+01   -.5315266780049031E+01    .2422862039823185E+00
   -.8783497811114316E+00   -.5532358162374870E+01    .2340711413008452E+00
   -.6876113339195853E+00   -.5751430875217243E+01    .2227837062305829E+00
   -.4878099995468075E+00   -.5972301265498365E+01    .2095527255653271E+00
   -.2789389697972471E+00   -.6194784173111093E+01    .1954983894497095E+00
   -.6101690323364695E-01   -.6418693086142376E+01    .1815405934533338E+00
    .1659115659797066E+00   -.6643840297229984E+01    .1683156466952265E+00
    .4017754026568867E+00   -.6870037060921379E+01    .1561793938112008E+00
    .6464768305014212E+00   -.7097093751902847E+01    .1452618850535576E+00
    .8998910789735151E+00   -.7324820023966238E+01    .1355403631092272E+00
    .1161866218449042E+01   -.7553024969580042E+01    .1269072011316934E+00
    .1432223084711818E+01   -.7781517279931027E+01    .1192211625757128E+00
    .1710755293522613E+01   -.8010105405302296E+01    .1123397184522573E+00
    .1997229345707368E+01   -.8238597715653283E+01    .1061355764065965E+00
    .2291384822904276E+01   -.8466802661267087E+01    .1005024596811229E+00
    .2592934673805618E+01   -.8694528933330478E+01    .9535481888740160E-01
