   -.4409999764945590E+01   -.2036261226415431E-02    .7182686559720511E-03
   -.4409993692326527E+01   -.1054833446871298E-01    .3501405899016793E-02
   -.4409962098776797E+01   -.2585686712091365E-01    .8506863939991699E-02
   -.4409869626491852E+01   -.4795611205813837E-01    .1573332573572050E-01
   -.4409665342824441E+01   -.7683327779587253E-01    .2517818467183048E-01
   -.4409282892752758E+01   -.1124712044985357E+00    .3683924640384326E-01
   -.4408640697465628E+01   -.1548486251354004E+00    .5071588686520317E-01
   -.4407642198675965E+01   -.2039402249581683E+00    .6681038523817596E-01
   -.4406176148061865E+01   -.2597166690620601E+00    .8512948368358897E-01
   -.4404116941110729E+01   -.3221446240537568E+00    .1056861807000257E+00
   -.4401324994528323E+01   -.3911867795828404E+00    .1285017609435211E+00
   -.4397647166264695E+01   -.4668018713445765E+00    .1536080651437614E+00
   -.4392917217101344E+01   -.5489447060791265E+00    .1810500035089860E+00
   -.4386956312639207E+01   -.6375661887556264E+00    .2108883114683164E+00
   -.4379573564425004E+01   -.7326133520097236E+00    .2432025340811805E+00
   -.4370566608854520E+01   -.8340293878552879E+00    .2780942003301196E+00
   -.4359722222395761E+01   -.9417536816698784E+00    .3156901052529434E+00
   -.4346816971582761E+01   -.1055721848443085E+01    .3561455502948617E+00
   -.4331617896142450E+01   -.1175865771271190E+01    .3996472942747143E+00
   -.4313883223532572E+01   -.1302113642077922E+01    .4464158340842377E+00
   -.4293363113088415E+01   -.1434390004538636E+01    .4967064637317867E+00
   -.4269800427900183E+01   -.1572615799183249E+01    .5508083559225317E+00
   -.4242931532471558E+01   -.1716708410651537E+01    .6090406835422422E+00
   -.4212487114143363E+01   -.1866581717072974E+01    .6717445721551057E+00
   -.4178193026204509E+01   -.2022146141541820E+01    .7392694865484799E+00
   -.4139771150555725E+01   -.2183308705656856E+01    .8119525588925335E+00
   -.4096940277740042E+01   -.2349973085093885E+01    .8900894344091190E+00
   -.4049417002107796E+01   -.2522039667177836E+01    .9738955264530326E+00
   -.3996916629843098E+01   -.2699405610420144E+01    .1063457223377363E+01
   -.3939154097543429E+01   -.2881964905985829E+01    .1158673646973424E+01
   -.3875844899014322E+01   -.3069608441053576E+01    .1259191059913893E+01
   -.3806706017917082E+01   -.3262224064030961E+01    .1364333920587477E+01
   -.3731456863889203E+01   -.3459696651585868E+01    .1473038749136046E+01
   -.3649820209744637E+01   -.3661908177454017E+01    .1583799134557649E+01
   -.3561523127354376E+01   -.3868737782981526E+01    .1694631990518550E+01
   -.3466297919806945E+01   -.4080061849360312E+01    .1803076081407240E+01
   -.3363883047453398E+01   -.4295754071513180E+01    .1906233407626866E+01
   -.3254024045452163E+01   -.4515685533584446E+01    .2000861851584627E+01
   -.3136474430445741E+01   -.4739724785990968E+01    .2083523206717661E+01
   -.3010996594023585E+01   -.4967737923987531E+01    .2150784055659686E+01
   -.2877362680653587E+01   -.5199588667699659E+01    .2199458100631503E+01
   -.2735355447798334E+01   -.5435138443575967E+01    .2226868998724722E+01
   -.2584769105971572E+01   -.5674246467211439E+01    .2231105292971942E+01
   -.2425410136535124E+01   -.5916769827492059E+01    .2211235773991731E+01
   -.2257098085086637E+01   -.6162563572010574E+01    .2167454801122353E+01
   -.2079666328343919E+01   -.6411480793702284E+01    .2101132431392208E+01
   -.1892962812492234E+01   -.6663372718649093E+01    .2014754215232932E+01
   -.1696850761026318E+01   -.6918088794999364E+01    .1911750735305946E+01
   -.1491209350189323E+01   -.7175476782950408E+01    .1796234816701010E+01
   -.1275934350185817E+01   -.7435382845739834E+01    .1672678936017701E+01
   -.1050938730425494E+01   -.7697651641591368E+01    .1545572779749780E+01
   -.8161532271379883E+00   -.7962126416560208E+01    .1419101558563512E+01
   -.5715268717870532E+00   -.8228649098222405E+01    .1296880755639845E+01
   -.3170274788041585E+00   -.8497060390152271E+01    .1181772996075640E+01
   -.5264209125691632E-01   -.8767199867131353E+01    .1075799114696983E+01
    .2216226168333773E+00   -.9038906071032091E+01    .9801409918929577E+00
    .5057399827086666E+00   -.9312016607318787E+01    .8952212718662058E+00
    .7996630427042248E+00   -.9586368242108298E+01    .8208368564933816E+00
    .1103324266662695E+01   -.9861796999732348E+01    .7563200089836956E+00
    .1416635339792853E+01   -.1013813826074324E+02    .7007026580367552E+00
    .1739486992721313E+01   -.1041522686030429E+02    .6528647607566276E+00
    .2071748880371231E+01   -.1069289718690629E+02    .6116545998252664E+00
    .2413269510185994E+01   -.1097098328135090E+02    .5759759505992360E+00
    .2763876220098618E+01   -.1124931893594184E+02    .5448428831944155E+00
    .3123375206529104E+01   -.1152773779382466E+02    .5174068955826677E+00
    .3491551602572779E+01   -.1180607344841560E+02    .4929630183942122E+00
    .3868169606422867E+01   -.1208415954286021E+02    .4709418211933892E+00
    .4252972659950569E+01   -.1236182986946221E+02    .4508934212466691E+00
    .4645683677245875E+01   -.1263891846902326E+02    .4324682050834573E+00
    .5046005322802822E+01   -.1291525973003415E+02    .4153974695047584E+00
    .5453620338913753E+01   -.1319068848765820E+02    .3994758620838640E+00
    .5868191921719198E+01   -.1346504012244771E+02    .3845464878347876E+00
    .6289364145242898E+01   -.1373815065873441E+02    .3704888690902351E+00
    .6716762432626140E+01   -.1400985686263515E+02    .3572095518505171E+00
    .7149994073661892E+01   -.1427999633961423E+02    .3446349686537176E+00
    .7588648787617373E+01   -.1454840763154409E+02    .3327061203709046E+00
    .8032299330224415E+01   -.1481493031320629E+02    .3213746667211382E+00
    .8480502143610092E+01   -.1507940508817513E+02    .3106000757356196E+00
