 -5.06249988 -.00157413549  .00279485646
 -5.06249676 -.00810092001  .00461775916
 -5.06248056 -.0198390114  .00789581736
 -5.06243318 -.0367840031  .012627178
 -5.06232853 -.0589260868  .0188081157
 -5.06213262 -.086252105  .0264335134
 -5.06180368 -.118745751  .0354968033
 -5.06129224 -.156387614  .0459898453
 -5.06054134 -.199155201  .0579027901
 -5.05948665 -.247022952  .0712239431
 -5.05805667 -.299962261  .0859396472
 -5.05617298 -.357941486  .102034208
 -5.05375044 -.420925975  .119489889
 -5.05069744 -.488878083  .13828702
 -5.04691624 -.561757197  .15840426
 -5.04230318 -.639519757  .179819069
 -5.03674907 -.722119288  .202508474
 -5.03013947 -.80950642  .226450182
 -5.02235508 -.901628923  .251624155
 -5.01327205 -.998431738  .278014728
 -5.00276245 -1.09985701  .305613382
 -4.99069457 -1.20584411  .33442225
 -4.97693339 -1.3163297  .364458447
 -4.96134098 -1.43124774  .395759235
 -4.94377694 -1.55052954  .428387973
 -4.92409883 -1.67410383  .462440683
 -4.90216263 -1.80189672  .498052863
 -4.87782318 -1.93383185  .535405939
 -4.85093468 -2.06983037  .574732441
 -4.82135113 -2.20981097  .616318575
 -4.78892683 -2.35369001  .660502477
 -4.75351682 -2.50138149  .70766604
 -4.7149774 -2.65279713  .758217936
 -4.67316659 -2.80784644  .81256544
 -4.6279446 -2.96643674  .871073082
 -4.57917433 -3.12847325  .93400712
 -4.52672183 -3.29385912  1.00146655
 -4.47045678 -3.46249551  1.07330379
 -4.41025295 -3.63428161  1.14904135
 -4.34598863 -3.80911477  1.22779411
 -4.27754713 -3.98689048  1.30820982
 -4.20481719 -4.16750248  1.38844268
 -4.12769341 -4.35084284  1.46617414
 -4.04607669 -4.53680197  1.5386927
 -3.95987459 -4.72526872  1.6030375
 -3.86900179 -4.91613046  1.65620179
 -3.77338042 -5.1092731  1.69538096
 -3.67294041 -5.30458121  1.71823918
 -3.56761988 -5.50193806  1.72316055
 -3.45736547 -5.70122568  1.70944807
 -3.34213259 -5.90232497  1.67743718
 -3.22188577 -6.10511574  1.62850176
 -3.0965989 -6.30947678  1.56494645
 -2.96625551 -6.51528594  1.4897974
 -2.83084896 -6.72242022  1.40652063
 -2.69038266 -6.93075582  1.31870838
 -2.54487027 -7.14016821  1.22977727
 -2.39433585 -7.35053224  1.14271726
 -2.23881397 -7.56172216  1.05991834
 -2.07834988 -7.77361177  .983086513
 -1.91299953 -7.98607442  .91324491
 -1.74282968 -8.19898311  .850803776
 -1.56791792 -8.4122106  .795675817
 -1.38835268 -8.62562945  .747411997
 -1.20423321 -8.83911209  .705336011
 -1.01566957 -9.05253093  .668661706
 -.82278251 -9.26575842  .636584745
 -.625703441 -9.47866712  .608346109
 -.42457427 -9.69112976  .583269702
 -.219547279 -9.90301937  .560779047
 -.0107849517 -10.1142093  .540398984
  .201540214 -10.3245733  .52174799
  .41724593 -10.5339857  .504525661
  .636140354 -10.7423213  .488498642
  .858022358 -10.9494556  .473487075
  1.08268181 -11.1552648  .459352645
  1.30989991 -11.3596258  .44598866
  1.53944947 -11.5624166  .433312142
  1.77109532 -11.7635159  .421257723
  2.00459467 -11.9628035  .409773006
  2.23969749 -12.1601603  .398815102
  2.47614693 -12.3554684  .388348019
  2.71367975 -12.5486111  .378340686
  2.95202679 -12.7394728  .368765412
  3.1909134 -12.9279396  .35959663
  3.43005995 -13.1138987  .350809838
  3.66918229 -13.2972391  .342380667
  3.9079923 -13.4778511  .334284063
  4.14619839 -13.6556268  .326493581
  4.383506 -13.8304599  .318980846
  4.61961821 -14.002246  .311715219
  4.85423621 -14.1708824  .304663747
  5.08705992 -14.3362683  .297791443
  5.31778849 -14.4983048  .29106192
  5.54612093 -14.6568951  .284438392
  5.77175664 -14.8119444  .277884976
  5.99439599 -14.96336  .271368204
  6.21374089 -15.1110515  .264858627
  6.42949538 -15.2549306  .258332346
  6.64136617 -15.3949112  .251772331
  6.84906323 -15.5309097  .245169388
  7.05230037 -15.6628448  .238522676
  7.25079576 -15.7906377  .231839734
  7.4442725 -15.914212  .225136008
  7.63245917 -16.0334938  .218433948
  7.81509036 -16.1484118  .211761748
  7.99190718 -16.2588974  .205151851
  8.16265781 -16.3648845  .19863936
  8.32709794 -16.4663098  .192260447
  8.48499133 -16.5631126  .186050897
  8.63611021 -16.6552351  .180044835
  8.78023579 -16.7426222  .17427372
  8.91715866 -16.8252218  .168765605
  9.04667923 -16.9029843  .163544677
  9.16860814 -16.9758635  .158631053
  9.28276661 -17.0438156  .154040802
  9.38898681 -17.1068  .149786144
  9.48711222 -17.1647793  .145875796
  9.57699793 -17.2177186  .1423154
  9.65851093 -17.2655863  .139108016
  9.73153039 -17.3083539  .136254637
  9.79594789 -17.3459958  .13375469
  9.85166764 -17.3784894  .131606518
  9.89860673 -17.4058154  .129807814
  9.93669524 -17.4279575  .128356015
  9.96587649 -17.4449025  .127248616
  9.98610748 -17.4566406  .126483432
  9.9973625 -17.4631674  .126058667
  10.0017729 -17.4616383  .125937627
  10.0093364 -17.4485847  .12585712
  10.0229248 -17.4251084  .125738177
  10.0425087 -17.3912183  .125589693
  10.0680416 -17.3469341  .125408193
  10.0994624 -17.2922819  .125188363
  10.1366963 -17.2272944  .124926941
  10.1796541 -17.1520105  .124622245
  10.2282332 -17.0664751  .124273172
  10.2823175 -16.9707394  .123878701
  10.3417777 -16.8648605  .123437729
  10.4064716 -16.7489017  .122949036
  10.4762447 -16.6229324  .122411282
  10.5509301 -16.4870278  .121823005
  10.6303493 -16.3412692  .121182631
