   -.2499999157170952E+00   -.2903151819363746E-03    .7395414974077616E-03
   -.2499977894852851E+00   -.1486779982016348E-02    .3768318996776493E-02
   -.2499867608714275E+00   -.3638561332794435E-02    .9215318826229245E-02
   -.2499545069794147E+00   -.6744851413141312E-02    .1707804160750049E-01
   -.2498832767767699E+00   -.1080385224029451E-01    .2735066449112502E-01
   -.2497499442297684E+00   -.1581315181207047E-01    .4002432726051592E-01
   -.2495260775140499E+00   -.2176976081517929E-01    .5508636020132730E-01
   -.2491780241626798E+00   -.2867012098544730E-01    .7251924347222059E-01
   -.2486670119421350E+00   -.3651010898182901E-01    .9229935834300208E-01
   -.2479492652036356E+00   -.4528503943207281E-01    .1143955357880446E+00
   -.2469761364177369E+00   -.5498966795919984E-01    .1387673956298551E+00
   -.2456942525617420E+00   -.6561819441479631E-01    .1653634619083951E+00
   -.2440456759920416E+00   -.7716426639292556E-01    .1941190335213187E+00
   -.2419680793969460E+00   -.8962098305114707E-01    .2249537838271827E+00
   -.2393949343900149E+00   -.1029808992482834E+00    .2577690603680359E+00
   -.2362557132694059E+00   -.1172360300018476E+00    .2924448583499165E+00
   -.2324761034354199E+00   -.1323778552650712E+00    .3288364517109546E+00
   -.2279782339263136E+00   -.1483973250220045E+00    .3667706864803595E+00
   -.2226809135016445E+00   -.1652848646983610E+00    .4060419756165644E+00
   -.2164998796729951E+00   -.1830303808852644E+00    .4464080850063412E+00
   -.2093480580539525E+00   -.2016232673727104E+00    .4875858680334282E+00
   -.2011358313747757E+00   -.2210524114892762E+00    .5292471903652017E+00
   -.1917713174823185E+00   -.2413062007443686E+00    .5710153838718089E+00
   -.1811606556225629E+00   -.2623725297690997E+00    .6124626718708784E+00
   -.1692083002816039E+00   -.2842388075516714E+00    .6531091061351818E+00
   -.1558173218411669E+00   -.3068919649629704E+00    .6924236341799362E+00
   -.1408897132867858E+00   -.3303184625678894E+00    .7298279547030188E+00
   -.1243267021906614E+00   -.3545042987177145E+00    .7647037992606529E+00
   -.1060290671769947E+00   -.3794350179187542E+00    .7964041796125333E+00
   -.8589745806529406E-01   -.4050957194722081E+00    .8242689471898171E+00
   -.6383271887680422E-01   -.4314710663801175E+00    .8476447167523988E+00
   -.3973621288083198E-01   -.4585452945120777E+00    .8659088160422533E+00
   -.1351014885137458E-01   -.4863022220272342E+00    .8784964587014042E+00
    .1494209229990306E-01   -.5147252590459332E+00    .8849298382876569E+00
    .4571563135063261E-01   -.5437974175652479E+00    .8848473631144159E+00
    .7890376589122927E-01   -.5735013216124522E+00    .8780308635688417E+00
    .1145976475797605E+00   -.6038192176303769E+00    .8644283786393319E+00
    .1528859623592826E+00   -.6347329850884407E+00    .8441701328233225E+00
    .1938546144629516E+00   -.6662241473130133E+00    .8175755945200264E+00
    .2375864150244115E+00   -.6982738825306382E+00    .7851500757220197E+00
    .2841607761011892E+00   -.7308630351175172E+00    .7475701611671302E+00
    .3336534109070527E+00   -.7639721270485283E+00    .7056582680287080E+00
    .3861360410356127E+00   -.7975813695389410E+00    .6603477185590697E+00
    .4416761114418198E+00   -.8316706748718629E+00    .6126407149627581E+00
    .5003365139305541E+00   -.8662196684043569E+00    .5635623913401242E+00
    .5621753198821753E+00   -.9012077007450476E+00    .5141145584011511E+00
    .6272455229238146E+00   -.9366138600959387E+00    .4652327781569637E+00
    .6955947922323618E+00   -.9724169847510695E+00    .4177499985645368E+00
    .7672652371305764E+00   -.1008595675744536E+01    .3723692012616707E+00
    .8422931836116241E+00   -.1045128309640316E+01    .3296464861572770E+00
    .9207089633996330E+00   -.1081993051456262E+01    .2899848879436019E+00
    .1002536716124676E+01   -.1119167867714525E+01    .2536381526102112E+00
    .1087794205159959E+01   -.1156630539610622E+01    .2207228367918846E+00
    .1176492647637001E+01   -.1194358676293265E+01    .1912365250239483E+00
    .1268636559121386E+01   -.1232329728247025E+01    .1650797283140580E+00
    .1364223613397147E+01   -.1270521000769821E+01    .1420791129996938E+00
    .1463244517772316E+01   -.1308909667537190E+01    .1220100464233302E+00
    .1565682904281573E+01   -.1347472784245223E+01    .1046169426963297E+00
    .1671515237124331E+01   -.1386187302324015E+01    .8963044847309645E-01
    .1780710736638268E+01   -.1425030082713438E+01    .7678103806943633E-01
    .1893231320069048E+01   -.1463977909692987E+01    .6580902681275749E-01
    .2009031559357245E+01   -.1503007504757460E+01    .5647132800291478E-01
    .2128058656122975E+01   -.1542095540530150E+01    .4854546655754403E-01
    .2250252433987901E+01   -.1581218654705256E+01    .4183143639023530E-01
    .2375545348332990E+01   -.1620353464011168E+01    .3615197600561577E-01
    .2503862513548827E+01   -.1659476578186275E+01    .3135176863439213E-01
    .2635121747793567E+01   -.1698564613958965E+01    .2729597780129353E-01
    .2769233635231785E+01   -.1737594209023437E+01    .2386842849231162E-01
    .2906101605685635E+01   -.1776542036002986E+01    .2096965243160062E-01
    .3045622031588100E+01   -.1815384816392409E+01    .1851494075028820E-01
    .3187684342086552E+01   -.1854099334471202E+01    .1643249050572270E-01
    .3332171154103788E+01   -.1892662451179234E+01    .1466169162059197E-01
    .3478958420122828E+01   -.1931051117946604E+01    .1315157467633002E-01
    .3627915592421635E+01   -.1969242390469399E+01    .1185942400535750E-01
    .3778905803444227E+01   -.2007213442423159E+01    .1074955142333890E-01
    .3931786061955734E+01   -.2044941579105803E+01    .9792221170075990E-02
    .4086407464590780E+01   -.2082404251001899E+01    .8962714390508986E-02
    .4242615422367461E+01   -.2119579067260163E+01    .8240520643351911E-02
    .4400249901702675E+01   -.2156443809076108E+01    .7608643815457749E-02
