  -.249999916 -.000290315182  2.36300009
 -.249997789 -.00148677998  2.3629942
 -.249986761 -.00363856133  2.3629637
 -.249954507 -.00674485141  2.36287453
 -.249883277 -.0108038522  2.36267765
 -.249749944 -.0158131518  2.36230922
 -.249526078 -.0217697608  2.3616909
 -.249178024 -.028670121  2.36073027
 -.248667012 -.036510109  2.35932136
 -.247949265 -.0452850394  2.35734547
 -.246976136 -.054989668  2.35467213
 -.245694253 -.0656181944  2.35116048
 -.244045676 -.0771642664  2.3466609
 -.241968079 -.0896209831  2.34101722
 -.239394934 -.102980899  2.33406934
 -.236255713 -.11723603  2.32565661
 -.232476103 -.132377855  2.31562194
 -.227978234 -.148397325  2.30381683
 -.222680914 -.165284865  2.29010755
 -.21649988 -.183030381  2.27438252
 -.209348058 -.201623267  2.25656112
 -.201135831 -.221052411  2.2366041
 -.191771317 -.241306201  2.2145254
 -.181160656 -.26237253  2.19040546
 -.1692083 -.284238808  2.16440544
 -.155817322 -.306891965  2.13678138
 -.140889713 -.330318463  2.10789702
 -.124326702 -.354504299  2.07823247
 -.106029067 -.379435018  2.04838493
 -.0858974581 -.405095719  2.01905499
 -.0638327189 -.431471066  1.99100844
 -.0397362129 -.458545295  1.96499739
 -.0135101489 -.486302222  1.94162012
  .0149420923 -.514725259  1.92111566
  .0457156314 -.543797418  1.90316792
  .0789037659 -.573501322  1.88689325
  .114597648 -.603819218  1.87108807
  .152885962 -.634732985  1.85456395
  .193854614 -.666224147  1.83638453
  .237586415 -.698273883  1.81596714
  .284160776 -.730863035  1.79308867
  .333653411 -.763972127  1.76783888
  .386136041 -.79758137  1.74054928
  .441676111 -.831670675  1.71171495
  .500336514 -.866219668  1.6819192
  .56217532 -.901207701  1.65176736
  .627245523 -.93661386  1.62183323
  .695594792 -.972416985  1.59261993
  .767265237 -1.00859568  1.56453515
  .842293184 -1.04512831  1.53787979
  .920708963 -1.08199305  1.51284791
  1.00253672 -1.11916787  1.48953545
  1.08779421 -1.15663054  1.46795489
  1.17649265 -1.19435868  1.44805303
  1.26863656 -1.23232973  1.42972963
  1.36422361 -1.270521  1.41285497
  1.46324452 -1.30890967  1.39728497
  1.5656829 -1.34747278  1.38287334
  1.67151524 -1.3861873  1.36948037
  1.78071074 -1.42503008  1.35697864
  1.89323132 -1.46397791  1.34525612
  2.00903156 -1.5030075  1.33421713
  2.12805866 -1.54209554  1.32378186
  2.25025243 -1.58121865  1.31388488
  2.37554535 -1.62035346  1.30447321
  2.50386251 -1.65947658  1.29550422
  2.63512175 -1.69856461  1.28694357
  2.76923364 -1.73759421  1.27876339
  2.90610161 -1.77654204  1.27094074
  3.04562203 -1.81538482  1.26345638
  3.18768434 -1.85409933  1.25629375
  3.33217115 -1.89266245  1.24943823
  3.47895842 -1.93105112  1.24287662
  3.62791559 -1.96924239  1.23659663
  3.7789058 -2.00721344  1.23058664
  3.93178606 -2.04494158  1.22483537
  4.08640746 -2.08240425  1.21933162
  4.24261542 -2.11957907  1.21406409
  4.4002499 -2.15644381  1.20902102
  4.55914568 -2.19297644  1.20419002
  4.71913261 -2.22915513  1.19955767
  4.88003591 -2.26495826  1.19510928
  5.04167646 -2.30036442  1.1908286
  5.20387107 -2.33535245  1.18669762
  5.36643285 -2.36990144  1.18269641
  5.52917152 -2.40399075  1.17880319
  5.69189372 -2.43759999  1.17499453
  5.85440338 -2.47070908  1.17124577
  6.01650206 -2.50329824  1.16753167
  6.17798934 -2.53534797  1.16382726
  6.33866314 -2.56683913  1.16010886
  6.49832014 -2.5977529  1.15635524
  6.65675611 -2.6280708  1.15254876
  6.81376636 -2.6577747  1.14867643
  6.96914605 -2.68684686  1.14473081
  7.12269061 -2.7152699  1.14071063
  7.27419616 -2.74302682  1.13662104
  7.42345984 -2.77010105  1.13247353
