 -.562499913 -.000441834316  2.17822253
 -.562497723 -.00226368439  2.17822116
 -.562486358 -.00554018947  2.17821411
 -.562453122 -.0102701195  2.17819357
 -.562379721 -.0164507367  2.17814823
 -.562242325 -.0240783684  2.17806326
 -.562011635 -.0331484627  2.17792022
 -.561652973 -.0436556014  2.17769683
 -.561126383 -.055593506  2.17736657
 -.560386757 -.0689550422  2.17689812
 -.559383962 -.0837322242  2.17625443
 -.558063 -.0999162203  2.17539153
 -.556364165 -.117497358  2.17425698
 -.554223231 -.136465129  2.17278786
 -.55157164 -.156808196  2.17090846
 -.548336715 -.178514402  2.16852759
 -.544441877 -.201570772  2.16553572
 -.539806882 -.225963526  2.16180211
 -.534348063 -.251678086  2.1571721
 -.527978588 -.278699081  2.15146518
 -.520608728 -.307010363  2.14447409
 -.512146133 -.336595009  2.13596568
 -.502496121 -.367435337  2.12568434
 -.491561969 -.399512915  2.11335865
 -.479245218 -.432808571  2.09871237
 -.465445984 -.467302403  2.08148053
 -.450063271 -.502973796  2.06143153
 -.432995296 -.53980143  2.03839584
 -.414139812 -.577763293  2.01230164
 -.39339444 -.616836696  1.98321686
 -.370657002 -.656998285  1.95139667
 -.345825852 -.698224056  1.91733388
 -.318800219 -.74048937  1.88180845
 -.289480538 -.783768965  1.84593062
 -.257768787 -.828036974  1.81116967
 -.223568825 -.873266937  1.77935663
 -.186786721 -.919431823  1.75262949
 -.147331085 -.966504039  1.73314733
 -.105113395 -1.01445545  1.72162554
 -.0600483132 -1.0632574  1.71488066
 -.0120540076 -1.11288071  1.70864417
  .0389475435 -1.16329574  1.69978116
  .0930302486 -1.21447234  1.68659152
  .150263609 -1.26637993  1.66850667
  .210712433 -1.31898748  1.64576499
  .274436564 -1.37226356  1.6191338
  .34149061 -1.42617631  1.5896795
  .411923694 -1.48069352  1.55858251
  .485779209 -1.53578261  1.52699466
  .563094589 -1.59141064  1.49593752
  .64390109 -1.64754437  1.46623889
  .728223588 -1.70415025  1.43850321
  .816080387 -1.76119444  1.41311014
  .907483047 -1.81864286  1.39023442
  1.00243622 -1.87646116  1.3698798
  1.10093751 -1.93461479  1.35191994
  1.20297734 -1.993069  1.33614061
  1.30853885 -2.05178883  1.32227827
  1.41759778 -2.11073921  1.31005238
  1.53012241 -2.16988489  1.29918981
  1.64607349 -2.22919052  1.28944137
  1.76540423 -2.28862066  1.28059105
  1.8880602 -2.34813978  1.27245956
  2.0139794 -2.40771233  1.26490364
  2.14309222 -2.46730267  1.25781258
  2.27532149 -2.52687522  1.25110336
  2.41058253 -2.58639434  1.24471539
  2.5487832 -2.64582448  1.2386054
  2.68982397 -2.70513011  1.23274301
  2.83359807 -2.76427579  1.22710701
  2.97999155 -2.82322617  1.22168253
  3.12888345 -2.881946  1.21645885
  3.28014594 -2.94040021  1.21142785
  3.43364449 -2.99855384  1.20658294
  3.58923807 -3.05637214  1.20191834
  3.74677931 -3.11382056  1.19742851
  3.90611479 -3.17086475  1.19310786
  4.06708518 -3.22747063  1.18895046
  4.2295256 -3.28360436  1.18494978
  4.39326576 -3.33923239  1.18109846
  4.55813035 -3.39432148  1.17738809
  4.72393924 -3.44883869  1.17380892
  4.89050786 -3.50275144  1.17034965
  5.05764743 -3.55602752  1.16699721
  5.22516537 -3.60863507  1.16373665
  5.39286559 -3.66054266  1.16055108
  5.56054884 -3.71171926  1.15742183
  5.72801306 -3.76213429  1.15432877
  5.89505378 -3.8117576  1.15125083
  6.06146446 -3.86055955  1.14816674
  6.22703686 -3.90851096  1.14505591
  6.39156145 -3.95558318  1.14189951
  6.5548278 -4.00174806  1.13868151
  6.71662495 -4.04697803  1.13538976
  6.87674183 -4.09124604  1.13201685
  7.03496764 -4.13452563  1.12856082
  7.19109226 -4.17679094  1.12502555
  7.34490667 -4.21801672  1.12142071
  7.49620332 -4.2581783  1.11776149
  7.64477655 -4.29725171  1.11406785
  7.79042298 -4.33521357  1.11036357
  7.9329419 -4.3720412  1.10667502
  8.0721357 -4.4077126  1.10302988
  8.2078102 -4.44220643  1.09945574
