 -.0488201239  .055113637 -.0486743521 -.0490649125  .0550480513  .0552237726
  .24719709 -.273889543  .246994499  .247502728 -.274345487 -.273201684

  5.48399004 -1.17111441  5.48392548  5.48407666 -1.17172592 -1.17029393
  5.80130482 -1.19349852  5.80097559  5.80148382 -1.19673064 -1.19174122
  6.11730398 -1.21602462  6.11720484  6.117942 -1.21703418 -1.20952798
  6.43047261 -1.23850561  6.43035541  6.43120294 -1.23973706 -1.23083206
  6.73928669 -1.26057012  6.73851852  6.73936605 -1.26883073 -1.25971675
  7.0422616 -1.28121723  7.04170105  7.04265564 -1.28742552 -1.27685315
  7.33785054 -1.3000778  7.33758524  7.33864315 -1.30310293 -1.29103997
  7.62459847 -1.31581189  7.62354459  7.6246025 -1.32805902 -1.31576503
  7.9013349 -1.32379918  7.90120823  7.90246001 -1.32532878 -1.31021288
