   -.3422499890587386E+01   -.1223870372142723E-02    .4659774190728240E-04
   -.3422497110211195E+01   -.6289770166499589E-02    .1941702693232541E-03
   -.3422482675203822E+01   -.1540053439598551E-01    .4595761230606690E-03
   -.3422440448567151E+01   -.2855274270014138E-01    .8427339402866028E-03
   -.3422347185083424E+01   -.4573878231801841E-01    .1343473182219158E-02
   -.3422172600897621E+01   -.6694844069562846E-01    .1961607708581148E-02
   -.3421879464149801E+01   -.9216906091102993E-01    .2696976331798422E-02
   -.3421423706477641E+01   -.1213855770719838E+00    .3549489730372424E-02
   -.3420754555114881E+01   -.1545805307187402E+00    .4519188644324199E-02
   -.3419814685254947E+01   -.1917340837195594E+00    .5606317172126724E-02
   -.3418540392297249E+01   -.2328240310849950E+00    .6811416486275560E-02
   -.3416861783543442E+01   -.2778258146578371E+00    .8135446550690749E-02
   -.3414702988861895E+01   -.3267125379912146E+00    .9579946229783162E-02
   -.3411982389790755E+01   -.3794549825270072E+00    .1114724544182679E-01
   -.3408612866503415E+01   -.4360216251153843E+00    .1284074661467403E-01
   -.3404502062015067E+01   -.4963786568878060E+00    .1466529645252968E-01
   -.3399552662965331E+01   -.5604900034832301E+00    .1662767258250618E-01
   -.3393662696269911E+01   -.6283173466210557E+00    .1873721247079104E-01
   -.3386725840893907E+01   -.6998201470109453E+00    .2100661322400656E-01
   -.3378631753960855E+01   -.7749556685874945E+00    .2345292924124728E-01
   -.3369266410374984E+01   -.8536790040562502E+00    .2609878832834393E-01
   -.3358512455099492E+01   -.9359431017364004E+00    .2897383334829001E-01
   -.3346249567201153E+01   -.1021698793684431E+01    .3211637259191596E-01
   -.3332354834741098E+01   -.1110894825082184E+01    .3557518405726738E-01
   -.3316703139563498E+01   -.1203477884871887E+01    .3941136273395438E-01
   -.3299167551007967E+01   -.1299392637619952E+01    .4370002228882243E-01
   -.3279619727547999E+01   -.1398581756590546E+01    .4853156142998182E-01
   -.3257930325336679E+01   -.1500985958009224E+01    .5401208239987032E-01
   -.3233969412622248E+01   -.1606544036496175E+01    .6026241218828624E-01
   -.3207606888980029E+01   -.1715192901647917E+01    .6741504267448861E-01
   -.3178712908293645E+01   -.1826867615745597E+01    .7560820220554670E-01
   -.3147158304407513E+01   -.1941501432567371E+01    .8497623999409384E-01
   -.3112815018364246E+01   -.2059025837281668E+01    .9563560172445849E-01
   -.3075556526134889E+01   -.2179370587397511E+01    .1076659655863123E+00
   -.3035258265746857E+01   -.2302463754747408E+01    .1210866601321700E+00
   -.2991798062714056E+01   -.2428231768477750E+01    .1358293543540215E+00
   -.2945056552675940E+01   -.2556599459020983E+01    .1517092205300553E+00
   -.2894917600157172E+01   -.2687490103023325E+01    .1683982926064928E+00
   -.2841268712367145E+01   -.2820825469201133E+01    .1854064734812910E+00
   -.2784001446968836E+01   -.2956525865098535E+01    .2020773933939513E+00
   -.2723011812759255E+01   -.3094510184718385E+01    .2176078247147454E+00
   -.2658200662219171E+01   -.3234695956998054E+01    .2311003475533329E+00
   -.2589474074907721E+01   -.3376999395101115E+01    .2416593626851313E+00
   -.2516743730697949E+01   -.3521335446495418E+01    .2485409521869432E+00
   -.2439927271872188E+01   -.3667617843787674E+01    .2513694752116916E+00
   -.2358948653121536E+01   -.3815759156284130E+01    .2504400946135816E+00
   -.2273738478521239E+01   -.3965670842246523E+01    .2471130339875378E+00
   -.2184234324583735E+01   -.4117263301812100E+01    .2440434269246492E+00
   -.2090381048523201E+01   -.4270445930546058E+01    .2440965966597640E+00
   -.1992131080899672E+01   -.4425127173594393E+01    .2479227803783020E+00
   -.1889444701847074E+01   -.4581214580404804E+01    .2542790277304822E+00
   -.1782290300127746E+01   -.4738614859982942E+01    .2612826371118619E+00
   -.1670644614296124E+01   -.4897233936650982E+01    .2671791781046913E+00
   -.1554492955296141E+01   -.5056977006275175E+01    .2706741995770925E+00
   -.1433829409860452E+01   -.5217748592928795E+01    .2710318094529015E+00
   -.1308657024124660E+01   -.5379452605956615E+01    .2680436520923081E+00
   -.1178987966916406E+01   -.5541992397406768E+01    .2619272688599312E+00
   -.1044843672226980E+01   -.5705270819795730E+01    .2531935699828337E+00
   -.9062549604224146E+00   -.5869190284171842E+01    .2425119341681093E+00
   -.7632621378012052E+00   -.6033652818442698E+01    .2305924106167231E+00
   -.6159150741571797E+00   -.6198560125931523E+01    .2180962117955092E+00
   -.4642732580581308E+00   -.6363813644127569E+01    .2055783493337860E+00
   -.3084058296038186E+00   -.6529314603595368E+01    .1934604709958943E+00
   -.1483915904804460E+00   -.6694964087007689E+01    .1820281402745242E+00
    .1568100881719614E-01   -.6860663088266864E+01    .1714450312531957E+00
    .1837139046703413E+00   -.7026312571679187E+01    .1617764937154089E+00
