 -.249999916 -.000290315182  .000357974739
 -.249997789 -.00148677998  .00182418799
 -.249986761 -.00363856133  .00446098509
 -.249954507 -.00674485141  .00826687687
 -.249883277 -.0108038522  .0132382632
 -.249749944 -.0158131518  .0193691624
 -.249526078 -.0217697608  .026650308
 -.249178024 -.028670121  .0350679978
 -.248667012 -.036510109  .0446027296
 -.247949265 -.0452850394  .0552276295
 -.246976136 -.054989668  .0669066752
 -.245694253 -.0656181944  .0795927132
 -.244045676 -.0771642664  .0932252703
 -.241968079 -.0896209831  .107728162
 -.239394934 -.102980899  .12300691
 -.236255713 -.11723603  .138946008
 -.232476103 -.132377855  .155406092
 -.227978234 -.148397325  .172221145
 -.222680914 -.165284865  .189195928
 -.21649988 -.183030381  .206103922
 -.209348058 -.201623267  .222686219
 -.201135831 -.221052411  .238651939
 -.191771317 -.241306201  .25368094
 -.181160656 -.26237253  .267429809
 -.1692083 -.284238808  .279542323
 -.155817322 -.306891965  .289665794
 -.140889713 -.330318463  .297474857
 -.124326702 -.354504299  .302704365
 -.106029067 -.379435018  .305192896
 -.0858974581 -.405095719  .304937728
 -.0638327189 -.431471066  .302160062
 -.0397362129 -.458545295  .297372834
 -.0135101489 -.486302222  .291425473
  .0149420923 -.514725259  .285463671
  .0457156314 -.543797418  .280722079
  .0789037659 -.573501322  .278174017
  .114597648 -.603819218  .27825555
  .152885962 -.634732985  .280829884
  .193854614 -.666224147  .28532887
  .237586415 -.698273883  .290943312
  .284160776 -.730863035  .296790948
  .333653411 -.763972127  .302041476
  .386136041 -.79758137  .305998857
  .441676111 -.831670675  .30814707
  .500336514 -.866219668  .308166453
  .56217532 -.901207701  .305927544
  .627245523 -.93661386  .30146883
  .695594792 -.972416985  .294964318
  .767265237 -1.00859568  .286686191
  .842293184 -1.04512831  .276966985
  .920708963 -1.08199305  .26616479
  1.00253672 -1.11916787  .254633924
  1.08779421 -1.15663054  .242702444
  1.17649265 -1.19435868  .230656913
  1.26863656 -1.23232973  .218734013
  1.36422361 -1.270521  .207118052
  1.46324452 -1.30890967  .195943042
  1.5656829 -1.34747278  .185297932
  1.67151524 -1.3861873  .175233671
  1.78071074 -1.42503008  .165770939
  1.89323132 -1.46397791  .156907701
  2.00903156 -1.5030075  .148625994
  2.12805866 -1.54209554  .140897617
  2.25025243 -1.58121865  .133688639
  2.37554535 -1.62035346  .126962742
  2.50386251 -1.65947658  .120683556
  2.63512175 -1.69856461  .114816158
  2.76923364 -1.73759421  .109327938
  2.90610161 -1.77654204  .104188991
  3.04562203 -1.81538482  .0993722108
  3.18768434 -1.85409933  .0948531776
  3.33217115 -1.89266245  .0906099453
  3.47895842 -1.93105112  .0866227736
  3.62791559 -1.96924239  .082873849
  3.7789058 -2.00721344  .079347013
  3.93178606 -2.04494158  .0760275052
  4.08640746 -2.08240425  .0729017256
  4.24261542 -2.11957907  .0699570124
  4.4002499 -2.15644381  .0671814325
  4.55914568 -2.19297644  .0645635838
  4.71913261 -2.22915513  .0620924086
  4.88003591 -2.26495826  .0597570212
  5.04167646 -2.30036442  .057546558
  5.20387107 -2.33535245  .0554500589
  5.36643285 -2.36990144  .0534563923
  5.52917152 -2.40399075  .0515542355
  5.69189372 -2.43759999  .0497321226
  5.85440338 -2.47070908  .0479785643
  6.01650206 -2.50329824  .0462822417
  6.17798934 -2.53534797  .044632266
  6.33866314 -2.56683913  .0430184885
  6.49832014 -2.5977529  .0414318382
  6.65675611 -2.6280708  .0398646568
  6.81376636 -2.6577747  .0383110004
  6.96914605 -2.68684686  .036766876
  7.12269061 -2.7152699  .0352303852
  7.27419616 -2.74302682  .0337017579
  7.42345984 -2.77010105  .0321832651
  7.57028025 -2.7964764  .0306790152
  7.71445782 -2.8221371  .0291946458
  7.85579517 -2.84706782  .0277369356
  7.99409756 -2.87125366  .0263133648
  8.12917319 -2.89468015  .024931658
  8.26083365 -2.91733331  .0235993416
  8.38889422 -2.93919959  .0223233465
  8.51317431 -2.96026592  .0211096785
  8.63349773 -2.98051971  .0199631736
  8.74969311 -2.99994885  .0188873465
  8.86159422 -3.01854174  .0178843307
  8.96904029 -3.03628725  .0169549066
  9.07187632 -3.05317479  .0160986018
  9.16995343 -3.06919426  .0153138503
  9.26312911 -3.08433609  .0145981919
  9.35126755 -3.09859122  .0139484935
  9.43423987 -3.11195114  .0133611764
  9.51192443 -3.12440785  .0128324341
  9.58420702 -3.13595392  .0123584273
  9.65098112 -3.14658245  .0119354462
  9.71214813 -3.15628708  .0115600336
  9.76761753 -3.16506201  .0112290693
  9.81730709 -3.172902  .0109398208
  9.86114304 -3.17980236  .0106899685
  9.8990602 -3.18575897  .0104776084
  9.93100213 -3.19076827  .010301234
  9.95692127 -3.19482727  .010159699
  9.97677904 -3.19793356  .010052166
  9.99054618 -3.20008534  .00997805211
  9.99820519 -3.2012818  .00993697021
  10.0000875 -3.20100149  .00991478549
  10.0004611 -3.19860855  .00986505643
  10.0011321 -3.19430497  .0097892471
  10.0020992 -3.18809237  .00970269303
  10.0033601 -3.17997435  .00961739136
  10.0049117 -3.16995572  .00953978033
  10.0067504 -3.15804246  .00947119381
  10.0088718 -3.1442417  .00940979772
  10.0112708 -3.12856167  .00935248724
  10.0139416 -3.11101176  .00929619532
  10.0168779 -3.09160244  .00923849951
  10.0200727 -3.07034532  .00917774565
  10.0235183 -3.0472531  .0091129247
  10.0272064 -3.02233959  .00904347482
  10.0311284 -2.99561968  .00896910906
  10.0352747 -2.96710933  .00888969624
  10.0396355 -2.93682558  .00880518596
  10.0442004 -2.90478654  .00871556722
  10.0489584 -2.87101136  .00862084868
  10.0538982 -2.83552021  .00852104915
  10.0590079 -2.79833432  .00841619312
  10.0642754 -2.75947591  .00830630931
  10.0696881 -2.71896821  .00819143022
  10.075233 -2.67683542  .00807159184
  10.0808968 -2.63310273  .00794683383
  10.0866661 -2.58779627  .00781719948
  10.092527 -2.54094313  .00768273594
  10.0984656 -2.49257131  .00754349427
  10.1044675 -2.44270971  .00739952954
  10.1105186 -2.39138815  .00725090093
  10.1166043 -2.33863729  .00709767181
  10.12271 -2.28448867  .00693990983
  10.1288213 -2.22897464  .00677768692
  10.1349234 -2.17212839  .0066110794
  10.1410018 -2.11398389  .00644016797
  10.1470419 -2.05457589  .00626503772
  10.1530294 -1.99393991  .00608577816
