  .350321184 -.204606303  .350188084  .35210646 -.205105673 -.197908247
  .440417369 -.180447476  .439692363  .441438928 -.184144853 -.175237735
  .53650894 -.167289011  .535823627  .537384072 -.171806064 -.161520809
  .64179549 -.161296921  .641396127  .642801599 -.164575104 -.153038236
  .757835328 -.160852869  .757305834  .758625426 -.165937346 -.153265937
  .885571073 -.165257787  .885551961  .886780515 -.165473128 -.151630796
  1.02556834 -.174267969  1.0252649  1.02649346 -.177944457 -.163058861
  1.17824761 -.187968765  1.17804104  1.1792696 -.190650343 -.174701861
  1.34382399 -.206614311  1.34274383  1.34406342 -.220390221 -.203560649
  1.52238878 -.230584074  1.52209615  1.52341575 -.234556066 -.216644753
  1.71390141 -.260311596  1.71335256  1.71475803 -.267638163 -.248876479
  1.9182041 -.296231166  1.91770989  1.91919576 -.302741468 -.28316782
  2.13501628 -.338726184  2.13493503  2.13649548 -.339785284 -.319443871
  2.36391253 -.388096577  2.36299162  2.36468268 -.39936344 -.378674076
  2.60441208 -.444517459  2.60295273  2.60474799 -.461492244 -.440610358
  2.85587939 -.508026937  2.8542961  2.85616752 -.525715844 -.504807926
  3.11759559 -.578497157  3.1163905  3.11830888 -.591536865 -.570779063
  3.38876218 -.655626044  3.3884973  3.39043267 -.658421253 -.637997827
  3.66844706 -.739164839  3.66786872  3.66977297 -.744992841 -.725803649
  3.95552392 -.830024812  3.95386072  3.9556201 -.845906486 -.829106433
  4.24633876 -.951001677  4.2463355  4.24776159 -.951031387 -.938050056
