 -5.06249988 -.00157413549  3.83610504
 -5.06249676 -.00810092001  3.83608683
 -5.06248056 -.0198390114  3.83604952
 -5.06243318 -.0367840031  3.83598533
 -5.06232853 -.0589260868  3.83588309
 -5.06213262 -.086252105  3.83572831
 -5.06180368 -.118745751  3.8355033
 -5.06129224 -.156387614  3.83518736
 -5.06054134 -.199155201  3.83475694
 -5.05948665 -.247022952  3.83418601
 -5.05805667 -.299962261  3.83344643
 -5.05617298 -.357941486  3.83250842
 -5.05375044 -.420925975  3.83134122
 -5.05069744 -.488878083  3.8299138
 -5.04691624 -.561757197  3.82819571
 -5.04230318 -.639519757  3.82615809
 -5.03674907 -.722119288  3.82377475
 -5.03013947 -.80950642  3.82102331
 -5.02235508 -.901628923  3.81788634
 -5.01327205 -.998431738  3.81435241
 -5.00276245 -1.09985701  3.81041695
 -4.99069457 -1.20584411  3.80608261
 -4.97693339 -1.3163297  3.80135899
 -4.96134098 -1.43124774  3.79626136
 -4.94377694 -1.55052954  3.79080787
 -4.92409883 -1.67410383  3.78501492
 -4.90216263 -1.80189672  3.77888983
 -4.87782318 -1.93383185  3.77242053
 -4.85093468 -2.06983037  3.76556141
 -4.82135113 -2.20981097  3.75821508
 -4.78892683 -2.35369001  3.75020984
 -4.75351682 -2.50138149  3.7412735
 -4.7149774 -2.65279713  3.73100462
 -4.67316659 -2.80784644  3.71884359
 -4.6279446 -2.96643674  3.70404726
 -4.57917433 -3.12847325  3.68567194
 -4.52672183 -3.29385912  3.66257102
 -4.47045678 -3.46249551  3.63341402
 -4.41025295 -3.63428161  3.59673352
 -4.34598863 -3.80911477  3.55100492
 -4.27754713 -3.98689048  3.49476049
 -4.20481719 -4.16750248  3.42673422
 -4.12769341 -4.35084284  3.34602775
 -4.04607669 -4.53680197  3.25228045
 -3.95987459 -4.72526872  3.1458216
 -3.86900179 -4.91613046  3.02777864
 -3.77338042 -5.1092731  2.90011702
 -3.67294041 -5.30458121  2.76559303
 -3.56761988 -5.50193806  2.62761176
 -3.45736547 -5.70122568  2.48999742
 -3.34213259 -5.90232497  2.35669821
 -3.22188577 -6.10511574  2.23146147
 -3.0965989 -6.30947678  2.11752195
 -2.96625551 -6.51528594  2.01734609
 -2.83084896 -6.72242022  1.93246664
 -2.69038266 -6.93075582  1.86342665
 -2.54487027 -7.14016821  1.80983361
 -2.39433585 -7.35053224  1.77050672
 -2.23881397 -7.56172216  1.74368725
 -2.07834988 -7.77361177  1.72727582
 -1.91299953 -7.98607442  1.71906173
 -1.74282968 -8.19898311  1.71691692
 -1.56791792 -8.4122106  1.71893774
 -1.38835268 -8.62562945  1.72352955
 -1.20423321 -8.83911209  1.72943862
 -1.01566957 -9.05253093  1.73574212
 -.82278251 -9.26575842  1.74181007
 -.625703441 -9.47866712  1.74725254
 -.42457427 -9.69112976  1.75186301
 -.219547279 -9.90301937  1.7555657
 -.0107849517 -10.1142093  1.75837105
  .201540214 -10.3245733  1.76034108
  .41724593 -10.5339857  1.76156418
  .636140354 -10.7423213  1.76213816
  .858022358 -10.9494556  1.76215967
  1.08268181 -11.1552648  1.76171828
  1.30989991 -11.3596258  1.76089366
  1.53944947 -11.5624166  1.75975482
  1.77109532 -11.7635159  1.75836041
  2.00459467 -11.9628035  1.75675968
  2.23969749 -12.1601603  1.75499357
  2.47614693 -12.3554684  1.75309587
  2.71367975 -12.5486111  1.75109422
  2.95202679 -12.7394728  1.74901096
  3.1909134 -12.9279396  1.7468638
  3.43005995 -13.1138987  1.74466627
  3.66918229 -13.2972391  1.74242803
  3.9079923 -13.4778511  1.74015506
  4.14619839 -13.6556268  1.73784976
  4.383506 -13.8304599  1.73551104
  4.61961821 -14.002246  1.73313441
  4.85423621 -14.1708824  1.73071227
  5.08705992 -14.3362683  1.72823426
  5.31778849 -14.4983048  1.7256879
  5.54612093 -14.6568951  1.72305933
  5.77175664 -14.8119444  1.72033439
  5.99439599 -14.96336  1.71749966
  6.21374089 -15.1110515  1.71454363
  6.42949538 -15.2549306  1.7114579
  6.64136617 -15.3949112  1.70823806
  6.84906323 -15.5309097  1.70488449
  7.05230037 -15.6628448  1.70140278
  7.25079576 -15.7906377  1.69780383
  7.4442725 -15.914212  1.69410358
  7.63245917 -16.0334938  1.69032254
  7.81509036 -16.1484118  1.68648489
  7.99190718 -16.2588974  1.6826176
  8.16265781 -16.3648845  1.67874935
  8.32709794 -16.4663098  1.67490943
  8.48499133 -16.5631126  1.67112684
  8.63611021 -16.6552351  1.66742934
  8.78023579 -16.7426222  1.66384279
  8.91715866 -16.8252218  1.66039062
  9.04667923 -16.9029843  1.65709352
  9.16860814 -16.9758635  1.6539692
  9.28276661 -17.0438156  1.65103247
  9.38898681 -17.1068  1.6482953
  9.48711222 -17.1647793  1.64576703
  9.57699793 -17.2177186  1.64345467
  9.65851093 -17.2655863  1.64136321
  9.73153039 -17.3083539  1.63949596
  9.79594789 -17.3459958  1.63785487
  9.85166764 -17.3784894  1.63644088
  9.89860673 -17.4058154  1.63525421
  9.93669524 -17.4279575  1.63429459
  9.96587649 -17.4449025  1.63356152
  9.98610748 -17.4566406  1.63305444
  9.9973625 -17.4631674  1.63277275
  10.0017729 -17.4616383  1.63273132
  10.0093364 -17.4485847  1.63283116
  10.0229248 -17.4251084  1.63299834
  10.0425087 -17.3912183  1.6332269
  10.0680416 -17.3469341  1.63351744
  10.0994624 -17.2922819  1.63387222
  10.1366963 -17.2272944  1.63429246
  10.1796541 -17.1520105  1.63477832
  10.2282332 -17.0664751  1.63532942
  10.2823175 -16.9707394  1.63594518
  10.3417777 -16.8648605  1.6366249
  10.4064716 -16.7489017  1.63736784
  10.4762447 -16.6229324  1.63817312
  10.5509301 -16.4870278  1.63903982
  10.6303493 -16.3412692  1.63996691
  10.7143125 -16.1857437  1.64095322
  10.8026189 -16.0205442  1.64199751
  10.8950575 -15.8457695  1.64309838
  10.9914073 -15.661524  1.64425428
  11.091438 -15.4679179  1.64546354
  11.1949105 -15.2650669  1.64672431
  11.3015775 -15.0530921  1.64803456
  11.4111839 -14.8321204  1.6493921
  11.5234678 -14.6022837  1.65079452
  11.6381608 -14.3637195  1.65223924
  11.7549887 -14.1165703  1.65372349
  11.8736722 -13.8609838  1.65524426
  11.9939277 -13.5971129  1.65679838
  12.1154677 -13.3251151  1.65838245
  12.2380017 -13.0451532  1.65999288
  12.3612367 -12.7573944  1.6616259
  12.4848783 -12.4620107  1.66327755
  12.6086307 -12.1591786  1.6649437
  12.7321983 -11.8490792  1.66662008
  12.8552856 -11.5318978  1.66830227
  12.9775985 -11.2078239  1.66998575
  13.0988445 -10.8770513  1.67166587
  13.2187338 -10.5397777  1.67333796
  13.3369799 -10.1962046  1.67499724
  13.4533 -9.84653737  1.67663897
  13.5674162 -9.49098504  1.67825836
  13.6790557 -9.12976009  1.67985069
  13.7879516 -8.76307843  1.68141126
  13.8938435 -8.39115922  1.68293548
  13.9964785 -8.01422474  1.68441885
  14.095611 -7.63250029  1.68585698
  14.1910043 -7.24621401  1.68724565
  14.2824302 -6.85559678  1.68858078
  14.3696702 -6.46088207  1.68985847
  14.4525157 -6.06230579  1.69107501
  14.5307688 -5.66010617  1.6922269
  14.6042424 -5.25452359  1.69331082
  14.6727609 -4.84580046  1.69432368
  14.7361604 -4.43418108  1.6952626
  14.7942894 -4.01991145  1.69612492
  14.847009 -3.60323919  1.69690819
  14.8941931 -3.18441332  1.69761021
  14.935729 -2.76368418  1.69822897
  14.9715174 -2.34130324  1.69876273
  15.0014727 -1.91752293  1.69920997
  15.0255233 -1.49259655  1.69956943
  15.0436118 -1.06677806  1.69984016
  15.0556948 -.640321983  1.70002156
  15.0617436 -.213483193  1.70011397
  15.0617436  .213483193  1.70011398
  15.0556948  .640321983  1.70002159
  15.0436118  1.06677806  1.69984022
  15.0255233  1.49259655  1.69956951
  15.0014727  1.91752293  1.69921006
  14.9715174  2.34130324  1.69876284
  14.935729  2.76368418  1.6982291
  14.8941931  3.18441332  1.69761036
  14.847009  3.60323919  1.69690836
  14.7942894  4.01991145  1.6961251
  14.7361604  4.43418108  1.6952628
  14.6727609  4.84580046  1.6943239
  14.6042424  5.25452359  1.69331105
  14.5307688  5.66010617  1.69222715
  14.4525157  6.06230579  1.69107528
  14.3696702  6.46088207  1.68985875
  14.2824302  6.85559678  1.68858107
  14.1910043  7.24621401  1.68724596
  14.095611  7.63250029  1.6858573
  13.9964785  8.01422474  1.68441918
  13.8938435  8.39115922  1.68293583
  13.7879516  8.76307843  1.68141162
  13.6790557  9.12976009  1.67985106
  13.5674162  9.49098504  1.67825875
  13.4533  9.84653737  1.67663937
  13.3369799  10.1962046  1.67499766
  13.2187338  10.5397777  1.67333839
  13.0988445  10.8770513  1.67166633
  12.9775985  11.2078239  1.66998622
  12.8552856  11.5318978  1.66830277
  12.7321983  11.8490792  1.66662061
  12.6086307  12.1591786  1.66494425
  12.4848783  12.4620107  1.66327813
  12.3612367  12.7573944  1.66162652
  12.2380017  13.0451532  1.65999354
  12.1154677  13.3251151  1.65838315
  11.9939277  13.5971129  1.65679913
  11.8736722  13.8609838  1.65524506
  11.7549887  14.1165703  1.65372434
  11.6381608  14.3637195  1.65224015
  11.5234678  14.6022837  1.65079549
  11.4111839  14.8321204  1.64939313
  11.3015775  15.0530921  1.64803566
  11.1949105  15.2650669  1.64672549
  11.091438  15.4679179  1.64546479
  10.9914073  15.661524  1.64425561
  10.8950575  15.8457695  1.64309979
  10.8026189  16.0205442  1.64199901
  10.7143125  16.1857437  1.64095481
  10.6303493  16.3412692  1.63996858
  10.5509301  16.4870278  1.63904159
  10.4762447  16.6229324  1.63817498
  10.4064716  16.7489017  1.63736978
  10.3417777  16.8648605  1.63662695
  10.2823175  16.9707394  1.63594731
  10.2282332  17.0664751  1.63533165
  10.1796541  17.1520105  1.63478064
  10.1366963  17.2272944  1.63429488
  10.0994624  17.2922819  1.63387472
  10.0680416  17.3469341  1.63352003
  10.0425087  17.3912183  1.63322957
  10.0229248  17.4251084  1.63300107
  10.0093364  17.4485847  1.63283392
  10.0017729  17.4616383  1.63273408
 -5.06249988  .00157413549  3.83611317
 -5.06249676  .00810092001  3.83612869
 -5.06248056  .0198390114  3.83615202
 -5.06243318  .0367840031  3.83617533
